"country","date","tested","confirmed","confirmed.tested.ratio","tested.population.ratio","confirmed.population.ratio"
"Afghanistan","17 Dec 2020",154767,49621,32.1,0.4,0.13
"Albania","18 Feb 2021",428654,96838,22.6,15,3.4
"Algeria","2 Nov 2020",230553,58574,25.4,0.53,0.13
"Andorra","23 Feb 2022",300307,37958,12.6,387,49
"Angola","2 Feb 2021",399228,20981,5.3,1.3,0.067
"Antigua and Barbuda","6 Mar 2021",15268,832,5.4,15.9,0.86
"Argentina","16 Apr 2022",35716069,9060495,25.4,78.3,20
"Armenia","29 May 2022",3099602,422963,13.6,105,14.3
"Australia","9 Sep 2022",78548492,10112229,12.9,313,40.3
"Austria","1 Feb 2023",205817752,5789991,2.8,2312,65
"Azerbaijan","11 May 2022",6838458,792638,11.6,69.1,8
"Bahamas","28 Nov 2022",259366,37483,14.5,67.3,9.7
"Bahrain","3 Dec 2022",10578766,696614,6.6,674,44.4
"Bangladesh","24 Jul 2021",7417714,1151644,15.5,4.5,0.7
"Barbados","14 Oct 2022",770100,103014,13.4,268,35.9
"Belarus","9 May 2022",13217569,982809,7.4,139,10.4
"Belgium","24 Jan 2023",36548544,4691499,12.8,317,40.7
"Belize","8 Jun 2022",572900,60694,10.6,140,14.9
"Benin","4 May 2021",595112,7884,1.3,5.1,0.067
"Bhutan","28 Feb 2022",1736168,12702,0.73,234,1.71
"Bolivia","5 Jun 2022",4358669,910228,20.9,38.1,8
"Bosnia and Herzegovina","27 Sep 2022",1872934,399887,21.4,54.7,11.7
"Botswana","11 Jan 2022",2026898,232432,11.5,89.9,10.3
"Brazil","19 Feb 2021",23561497,10081676,42.8,11.2,4.8
"Brunei","2 Aug 2021",153804,338,0.22,33.5,0.074
"Bulgaria","2 Feb 2023",10993239,1295524,11.8,158,18.6
"Burkina Faso","4 Mar 2021",158777,12123,7.6,0.76,0.058
"Burundi","5 Jan 2021",90019,884,0.98,0.76,0.0074
"Cambodia","1 Aug 2021",1812706,77914,4.3,11.2,0.48
"Cameroon","18 Feb 2021",942685,32681,3.5,3.6,0.12
"Canada","26 Nov 2022",66343123,4423053,6.7,175,11.7
"Chad","2 Mar 2021",99027,4020,4.1,0.72,0.029
"Chile","1 Feb 2023",48154268,5123007,10.6,252,26.9
"China[c]","31 Jul 2020",1.6e+08,87655,0.055,11.1,0.0061
"Colombia","24 Nov 2022",36875818,6314769,17.1,76.4,13.1
"Costa Rica","2 Nov 2021",2575363,561054,21.8,51.5,11.2
"Croatia","2 Feb 2023",5481285,1267798,23.1,134,31.1
"Cuba","2 Feb 2023",14301394,1112470,7.8,126,9.8
"Cyprus[d]","29 Jan 2023",27820163,644160,2.3,3223,74.4
"Czechia","1 Feb 2023",22544928,4590529,20.4,211,42.9
"Denmark[e]","31 Jan 2023",67682707,3399947,5,1162,58.4
"Djibouti","28 Apr 2022",305941,15631,5.1,33.2,1.7
"Dominica","20 Jun 2022",209803,14821,7.1,293,20.7
"Dominican Republic","22 Jul 2022",3574665,626030,17.5,32.9,5.8
"DR Congo","28 Feb 2021",124838,25961,20.8,0.14,0.029
"Ecuador","23 Jul 2021",1627189,480720,29.5,9.5,2.8
"Egypt","23 Jul 2021",3137519,283947,9.1,3.1,0.28
"El Salvador","18 Mar 2022",1847861,161052,8.7,28.5,2.5
"Equatorial Guinea","30 Jan 2023",403773,17113,4.2,30.8,1.3
"Estonia","31 Jan 2023",3637908,613954,16.9,274,46.2
"Eswatini","8 Dec 2021",415110,49253,11.9,36.5,4.3
"Ethiopia","24 Jun 2021",2981185,278446,9.3,2.6,0.24
"Faroe Islands","27 Feb 2022",774000,34237,4.4,1493,65.7
"Fiji","2 Jan 2023",667953,68848,10.3,74.5,7.7
"Finland","14 Jan 2022",9042453,371135,4.1,163,6.7
"France[f][g]","15 May 2022",272417258,29183646,10.7,417,44.7
"Gabon","23 Jul 2021",958807,25325,2.6,3.1,0.082
"Gambia","15 Feb 2021",43217,4469,10.3,2,0.21
"Georgia[h]","3 Nov 2021",4888787,732965,15,132,19.7
"Germany","7 Jul 2021",65247345,3733519,5.7,77.8,4.5
"Ghana","3 Jul 2021",1305749,96708,7.4,4.2,0.31
"Greece","18 Dec 2022",101576831,5548487,5.5,943,51.5
"Greenland","30 Jan 2022",164573,10662,6.5,293,19
"Grenada","11 May 2021",28684,161,0.56,25.7,0.14
"Guatemala","6 Jan 2023",6800560,1230098,18.1,39.4,7.1
"Guinea","21 Jul 2021",494898,24878,5,3.8,0.19
"Guinea-Bissau","7 Jul 2022",145231,8400,5.8,7.7,0.45
"Guyana","15 Jun 2022",648569,66129,10.2,82.5,8.4
"Haiti","26 Nov 2022",223475,33874,15.2,2,0.3
"Honduras","26 Nov 2021",1133782,377859,33.3,11.8,3.9
"Hungary","10 May 2022",11394556,1909948,16.8,118,19.8
"Iceland","9 Aug 2022",1988652,203162,10.2,546,55.8
"India","8 Jul 2022",866177937,43585554,5,63,31.7
"Indonesia","3 Jul 2023",76062770,6812127,9,28.2,2.5
"Iran","31 May 2022",52269202,7232268,13.8,62.8,8.7
"Iraq","3 Aug 2022",19090652,2448484,12.8,47.5,6.1
"Ireland","31 Jan 2023",12990476,1700817,13.1,264,34.6
"Israel","17 Jan 2022",41373364,1792137,4.3,451,19.5
"Italy","16 Mar 2023",269127054,25651205,9.5,446,42.5
"Ivory Coast","3 Mar 2021",429177,33285,7.8,1.6,0.13
"Jamaica","30 Sep 2022",1184973,151931,12.8,43.5,5.6
"Japan","1 Mar 2021",8487288,432773,5.1,6.7,0.34
"Jordan","6 Jun 2021",7407053,739847,10,69.5,6.9
"Kazakhstan","28 May 2021",11575012,385144,3.3,62.1,2.1
"Kenya","5 Mar 2021",1322806,107729,8.1,2.8,0.23
"Kosovo","31 May 2021",611357,107410,17.6,33.8,5.9
"Kuwait","9 Mar 2022",7754247,624573,8.1,181,14.6
"Kyrgyzstan","10 Feb 2021",695415,85253,12.3,10.7,1.3
"Laos","1 Mar 2021",114030,45,0.039,1.6,0.00063
"Latvia","5 Sep 2021",3630095,144518,4,189,7.5
"Lebanon","14 Jun 2021",4599186,542649,11.8,67.4,8
"Lesotho","30 Mar 2022",431221,32910,7.6,21.5,1.6
"Liberia","17 Jul 2021",128246,5396,4.2,2.5,0.11
"Libya","14 Apr 2022",2578215,501862,19.5,37.6,7.3
"Lithuania","31 Jan 2023",9046584,1170108,12.9,324,41.9
"Luxembourg[i]","12 May 2022",4248188,244182,5.7,679,39
"Madagascar","19 Feb 2021",119608,19831,16.6,0.46,0.076
"Malawi","29 Nov 2022",624784,88086,14.1,3.3,0.46
"Malaysia","7 Sep 2021",23705425,1880734,7.9,72.3,5.7
"Maldives","13 Mar 2022",2216560,174658,7.9,398,31.3
"Mali","7 Jul 2021",322504,14449,4.5,1.6,0.071
"Malta","8 Sep 2021",1211456,36606,3,245,7.4
"Mauritania","16 Apr 2021",268093,18103,6.8,6.1,0.41
"Mauritius","22 Nov 2020",289552,494,0.17,22.9,0.039
"Mexico","15 Oct 2021",10503678,3749860,35.7,8.2,2.9
"Moldova[j]","20 Apr 2022",3213594,516864,16.1,122,19.6
"Mongolia","10 Jul 2021",3354200,136053,4.1,100,4.1
"Montenegro","10 May 2021",394388,98449,25,62.5,15.6
"Morocco","6 Jan 2023",14217563,1272299,8.9,38.5,3.4
"Mozambique","22 Jul 2021",688570,105866,15.4,2.2,0.34
"Myanmar","16 Sep 2021",4047680,440741,10.9,7.4,0.81
"Namibia","4 Jul 2022",1062663,166229,15.6,38.7,6.1
"Nepal","26 Jul 2022",5804358,984475,17,20.7,3.5
"Netherlands","6 Jul 2021",14526293,1692834,11.7,83.4,9.7
"New Caledonia","3 Sep 2021",41962,136,0.32,15.7,0.05
"New Zealand","29 Jan 2023",7757935,2136662,27.5,156,42.9
"Niger","22 Feb 2021",79321,4740,6,0.35,0.021
"Nigeria","28 Feb 2021",1544008,155657,10.1,0.75,0.076
"North Korea","25 Nov 2020",16914,0,0,0.066,0
"North Macedonia","1 Jul 2021",881870,155689,17.7,42.5,7.5
"Northern Cyprus[k]","12 Jul 2022",7096998,103034,1.5,2177,31.6
"Norway","20 Jan 2022",9811888,554778,5.7,183,10.3
"Oman","28 Oct 2020",509959,114434,22.4,11,2.5
"Pakistan","5 Mar 2021",9173593,588728,6.4,4.2,0.27
"Palestine","5 Feb 2022",3078533,574105,18.6,60.9,11.4
"Panama","28 Jan 2023",7475016,1029701,13.8,179,24.7
"Papua New Guinea","17 Feb 2021",47490,961,2,0.53,0.011
"Paraguay","27 Mar 2022",2609819,647950,24.8,36.6,9.1
"Peru","17 Nov 2022",36073768,4177786,11.6,109.9,12.7
"Philippines","7 Jan 2023",34402980,4073980,11.8,34.1,4
"Poland","27 Apr 2022",36064311,5993861,16.6,94,15.6
"Portugal","5 Jan 2022",27515490,1499976,5.5,268,14.6
"Qatar","11 Nov 2022",4061988,473440,11.7,141,16.4
"Romania","29 Jan 2021",5405393,724250,13.4,27.9,3.7
"Russia","6 Jun 2022",295542733,18358459,6.2,201,12.5
"Rwanda","6 Oct 2021",2885812,98209,3.4,22.3,0.76
"Saint Kitts and Nevis","26 Aug 2021",30231,995,3.3,57.6,1.9
"Saint Lucia","7 Oct 2022",212132,29550,13.9,116.6,16.2
"Saint Vincent","28 Jan 2023",113504,9585,8.4,103,8.7
"San Marino","29 Jan 2023",192613,23427,12.2,563,68.4
"Saudi Arabia","26 Apr 2022",41849069,753632,1.8,120,2.2
"Senegal","12 Jul 2021",624502,46509,7.4,3.9,0.29
"Serbia","2 Feb 2023",12185475,2473599,20.3,175,35.5
"Singapore","3 Aug 2021",16206203,65315,0.4,284,1.1
"Slovakia","2 Feb 2023",7391882,1861034,25.2,135,34.1
"Slovenia","2 Feb 2023",2826117,1322282,46.8,135,63.1
"South Africa","24 May 2021",11378282,1637848,14.4,19.2,2.8
"South Korea","1 Mar 2021",6592010,90029,1.4,12.7,0.17
"South Sudan","26 May 2021",164472,10688,6.5,1.3,0.084
"Spain","1 Jul 2021",54128524,3821305,7.1,116,8.2
"Sri Lanka","30 Mar 2021",2384745,93128,3.9,10.9,0.43
"Sudan","7 Jan 2021",158804,23316,14.7,0.36,0.053
"Sweden","24 May 2021",9996795,1074751,10.8,96.8,10.4
"Switzerland[l]","7 Nov 2022",23283909,4276836,18.4,270,49.7
"Taiwan[m]","3 Feb 2023",30275725,8622129,28.48,128.3,36.528
"Tanzania","18 Nov 2020",3880,509,13.1,0.0065,0.00085
"Thailand","4 Mar 2021",1579597,26162,1.7,2.3,0.038
"Togo","6 Jan 2023",807269,39358,4.9,9.4,0.46
"Trinidad and Tobago","3 Jan 2022",512730,92997,18.1,37.6,6.8
"Tunisia","23 Aug 2021",2893625,703732,24.3,24.5,6
"Turkey","2 Jul 2021",61236294,5435831,8.9,73.6,6.5
"Uganda","11 Feb 2021",852444,39979,4.7,1.9,0.087
"Ukraine","24 Nov 2021",15648456,3367461,21.5,37.2,8
"United Arab Emirates","1 Feb 2023",198685717,1049537,0.53,2070,10.9
"United Kingdom","19 May 2022",522526476,22232377,4.3,774,32.9
"United States","29 Jul 2022",929349291,90749469,9.8,281,27.4
"Uruguay","16 Apr 2022",6089116,895592,14.7,175,25.8
"Uzbekistan","7 Sep 2020",2630000,43975,1.7,7.7,0.13
"Venezuela","30 Mar 2021",3179074,159149,5,11,0.55
"Vietnam","28 Aug 2022",45772571,11403302,24.9,46.4,11.6
"Zambia","10 Mar 2022",3301860,314850,9.5,19,1.8
"Zimbabwe","15 Oct 2022",2529087,257893,10.2,17,1.7
